Market Name,Symbol,Group,First Date of Data,Notes
Coal Newcastle,$YCX,Bulk Commodities,2/21/2000,Updated on a weekly basis - US Dollars per metric tonne
Iron Ore,$FE,Bulk Commodities,11/17/2008,US Dollars per metric tonne
Uranium,$U3O8,Bulk Commodities,2/29/1988,Updated on a weekly basis - US Dollars per pound
Dow / Gold Ratio,$DGR,Bullion,4/1/1968,
Gold,$GC,Bullion,4/1/1968,London PM Fixing - US Dollars per troy ounce
Gold (24 hour),$XAU,Bullion,7/1/1982,US Dollars per troy ounce
Gold / Silver Ratio,$GSR,Bullion,4/1/1968,
Palladium,$PA,Bullion,4/2/1990,London PM Fixing - US Dollars per troy ounce
Platinum,$PL,Bullion,4/2/1990,London PM Fixing - US Dollars per troy ounce
Silver,$SI,Bullion,1/2/1968,London PM Fixing - US Cents per troy ounce
Silver (24 hour),$XAG,Bullion,7/1/1982,US Dollars per troy ounce
Continuous Commodity Index,$CI,Commodity Indices,11/22/1965,
Dow Jones/AIG Agriculture Sub-Index,$DJAG,Commodity Indices,1/2/1991,
Dow Jones/AIG Commodity Index,$AIG,Commodity Indices,1/2/1991,
Dow Jones/AIG Commod Idx Tot Return,$AIGT,Commodity Indices,1/2/1991,
Dow Jones/AIG Energy Sub-Index,$DJEN,Commodity Indices,1/2/1991,
Dow Jones/AIG ex-Energy Sub-Index,$DJXE,Commodity Indices,1/2/1991,
Dow Jones/AIG Grains Sub-Index,$DJGR,Commodity Indices,1/2/1991,
Dow Jones/AIG Industrial Metals Sub-Index,$DJIN,Commodity Indices,1/2/1991,
Dow Jones/AIG Livestock Sub-Index,$DJLI,Commodity Indices,1/2/1991,
Dow Jones/AIG Petroleum Sub-Index,$DJPE,Commodity Indices,1/2/1991,
Dow Jones/AIG Precious Metals Sub-Index,$DJPR,Commodity Indices,1/2/1991,
Dow Jones/AIG Softs Sub-Index,$DJSO,Commodity Indices,1/2/1991,
Thomson Reuters/CoreCommodity CRB Index,$CR,Commodity Indices,1/3/1994,
S&P GSCI,$GSCI,Commodity Indices,1/2/1970,
Brent Index,$BRNX,Energy,1/4/2000,US Dollars per barrel
Crude Oil - West Texas Intermediate,$WTI,Energy,3/30/1983,US Dollars per barrel
Heating Oil - New York,$HO,Energy,6/2/1986,US Dollars per gallon
Natural Gas - Henry Hub,$HHNG,Energy,8/12/1991,US Dollars per million BTUs (British Thermal Units)
RBOB Gasoline - New York,$RBOB,Energy,10/12/2006,US Dollars per gallon
13-week US Treasury Bill Yield,$IRX,Financials,11/2/1993,
5-year US Treasury Note Yield,$FVX,Financials,11/2/1993,
10-year US Treasury Note Yield,$TNX,Financials,11/2/1993,
30-year US Treasury Bond Yield,$TYX,Financials,11/2/1993,
Federal Funds - Effective Rate,$FFYE,Financials,7/1/1954,One day delay
US Dollar Index,$DX,Financials,1/4/1971,
CME Feeder Cattle Index,$FC,Food,1/1/2001,One day delay
CME Lean Hogs Index,$LH,Food,11/2/1995,Two day delay
Aluminium,$AL,London Metals Exchange,7/1/1993,Official cash price - US Dollars per metric tonne
Aluminium - 3 months seller,$AL3S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Aluminium - warehouse stocks,$ALWS,London Metals Exchange,1/6/1998,Opening stocks
Aluminium Alloy,$AA,London Metals Exchange,7/1/1993,Official cash price - US Dollars per metric tonne
Aluminium Alloy - 3 months seller,$AA3S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Aluminium Alloy - warehouse stocks,$AAWS,London Metals Exchange,3/13/2002,Opening stocks
Cobalt,$CO,London Metals Exchange,5/19/2010,Official cash price - US Dollars per metric tonne
Cobalt - 3 months seller,$CO3S,London Metals Exchange,2/22/2010,US Dollars per metric tonne
Cobalt - 15 months seller,$CO5S,London Metals Exchange,2/22/2010,US Dollars per metric tonne
Cobalt - warehouse stocks,$COWS,London Metals Exchange,5/5/2010,Opening stocks
Copper,$CU,London Metals Exchange,7/1/1993,Official cash price - US Dollars per metric tonne
Copper - 3 months seller,$CU3S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Copper - warehouse stocks,$CUWS,London Metals Exchange,1/6/1998,Opening stocks
Lead,$PB,London Metals Exchange,7/1/1993,Official cash price - US Dollars per metric tonne
Lead - 3 months seller,$PB3S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Lead - warehouse stocks,$PBWS,London Metals Exchange,1/6/1998,Opening stocks
Molybdenum,$MO,London Metals Exchange,5/19/2010,Official cash price - US Dollars per metric tonne
Molybdenum - 3 months seller,$MO3S,London Metals Exchange,2/22/2010,US Dollars per metric tonne
Molybdenum - 15 months seller,$MO5S,London Metals Exchange,2/22/2010,US Dollars per metric tonne
Molybdenum - warehouse stocks,$MOWS,London Metals Exchange,4/13/2010,Opening stocks
N.A. Special Aluminium Alloy,$NA,London Metals Exchange,3/7/2002,Official cash price - US Dollars per metric tonne
N.A. Special Aluminium Alloy - 3 months seller,$NA3S,London Metals Exchange,3/7/2002,US Dollars per metric tonne
N.A. Special Aluminium Alloy - warehouse stocks,$NAWS,London Metals Exchange,5/1/2002,Opening stocks
Nickel,$NI,London Metals Exchange,7/1/1993,Official cash price - US Dollars per metric tonne
Nickel - 3 months seller,$NI3S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Nickel - warehouse stocks,$NIWS,London Metals Exchange,1/6/1998,Opening stocks
Steel Billets,$FM,London Metals Exchange,7/24/2008,Official cash price - US Dollars per metric tonne
Steel Billets - 3 months seller,$FM3S,London Metals Exchange,7/24/2008,US Dollars per metric tonne
Steel Billets - 15 months seller,$FM5S,London Metals Exchange,7/24/2008,US Dollars per metric tonne
Steel Billets - warehouse stocks,$FMWS,London Metals Exchange,8/6/2008,Opening stocks
Tin,$SN,London Metals Exchange,7/1/1993,Official cash price - US Dollars per metric tonne
Tin - 3 months seller,$SN3S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Tin - 15 months seller,$SN5S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Tin - warehouse stocks,$SNWS,London Metals Exchange,1/6/1998,Opening stocks
Zinc,$ZN,London Metals Exchange,7/1/1993,Official cash price - US Dollars per metric tonne
Zinc - 3 months seller,$ZN3S,London Metals Exchange,7/1/1993,US Dollars per metric tonne
Zinc - warehouse stocks,$ZNWS,London Metals Exchange,1/6/1998,Opening stocks
LMEX,$LMEX,London Metals Exchange,7/2/1984,Index of the 6 primary LME base metals
All Ordinaries,$AO,Stock Indices,1/2/1980,
CAC 40,$CA,Stock Indices,12/31/1987,
CBOE Volatility Index,$VIX,Stock Indices,1/2/1990,
DAX 30,$DA,Stock Indices,1/2/1991,
Dow Jones Industrial Average,$DJ,Stock Indices,10/1/1928,
EuroSTOXX 50,$SX,Stock Indices,1/2/1987,
FTSE 100,$FT,Stock Indices,4/2/1984,
FTSE China A50,$XIN9,Stock Indices,3/4/2004,
Hang Seng,$HS,Stock Indices,1/20/1997,
KOSPI 200,$KO,Stock Indices,1/3/1990,
MSCI Singapore,$SG,Stock Indices,1/1/1988,
MSCI Taiwan,$TW,Stock Indices,1/4/1988,
Nasdaq 100,$NQ,Stock Indices,10/1/1985,
Nasdaq Composite,$NC,Stock Indices,2/5/1971,
Nikkei 225,$NK,Stock Indices,1/5/1965,
NYSE Composite,$NY,Stock Indices,12/31/1965,
Russell 1000,$RUI,Stock Indices,7/1/1987,
Russell 2000,$RU,Stock Indices,12/24/1996,
S&P/ASX 200,$XI,Stock Indices,5/29/1992,
S&P/CNX Nifty,$NIF,Stock Indices,11/3/1995,
S&P/TSX 60,$SXF,Stock Indices,1/4/1999,
S&P 100,$OE,Stock Indices,8/2/1982,
S&P 500,$SP,Stock Indices,1/3/1928,
S&P MidCap 400,$MD,Stock Indices,8/20/1991,
Shanghai Composite,$SC,Stock Indices,7/15/1991,
Straits Times,$ST,Stock Indices,1/4/1985,
Swiss Market,$SW,Stock Indices,11/9/1990,
TecDAX,$TDX,Stock Indices,12/15/2005,
